CODIGO;Código Nuevo;NOMBRE;Región Codigo;Región Nombre;COMUNA;Nom. Comuna;SS Codigo;SS Nombre;Tipo de Establecimiento;Nivel de Atención;Nivel de Atención DEIS;Dependencia de Ejecución;Certificación;Hospital;Especialidad;ACTIVO;Vigente;Código Nuevo
20-421;120421;Posta de Salud Rural Puente Perales;8;Del Bíobío;08304;Laja;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120421
20-422;120422;Posta de Salud Rural Dollinco (Nacimiento);8;Del Bíobío;08306;Nacimiento;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120422
20-423;120423;Posta de Salud Rural Culenco;8;Del Bíobío;08306;Nacimiento;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120423
20-424;120424;Posta de Salud Rural Choroico (Nacimiento);8;Del Bíobío;08306;Nacimiento;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120424
20-425;120425;Posta de Salud Rural Coigue;8;Del Bíobío;08307;Negrete;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120425
20-426;120426;Posta de Salud Rural Millapoa;8;Del Bíobío;08306;Nacimiento;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120426
20-427;120427;Posta de Salud Rural Carrizal;8;Del Bíobío;08306;Nacimiento;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120427
20-428;120428;Posta de Salud Rural San Roque;8;Del Bíobío;08306;Nacimiento;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120428
20-429;120429;Posta de Salud Rural Rihue;8;Del Bíobío;08307;Negrete;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120429
20-430;120430;Posta de Salud Rural Rucamanqui;8;Del Bíobío;08312;Tucapel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120430
20-431;120431;Posta de Salud Rural Rucalhue;8;Del Bíobío;08308;Quilaco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120431
20-432;120432;Posta de Salud Rural Loncopangue;8;Del Bíobío;08308;Quilaco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120432
20-434;120434;Posta de Salud Rural Campamento;8;Del Bíobío;08308;Quilaco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120434
20-435;120435;Posta de Salud Rural Tinajón;8;Del Bíobío;08309;Quilleco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120435
20-436;120436;Posta de Salud Rural Turquía;8;Del Bíobío;08310;San Rosendo;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120436
20-437;120437;Posta de Salud Rural Quilaco;8;Del Bíobío;08308;Quilaco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120437
20-438;120438;Posta de Salud Rural Piñiquihue;8;Del Bíobío;08308;Quilaco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120438
20-441;120441;Posta de Salud Rural Pitril;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120441
20-442;120442;Posta de Salud Rural Villucura;8;Del Bíobío;08311;Santa Bárbara;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120442
20-443;120443;Posta de Salud Rural El Huachi;8;Del Bíobío;08311;Santa Bárbara;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;NO;SI;120443
20-444;120444;Posta de Salud Rural Callaqui;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120444
20-445;120445;Posta de Salud Rural Trapa Trapa;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120445
20-447;120447;Posta de Salud Rural Los Boldos;8;Del Bíobío;08311;Santa Bárbara;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120447
20-448;120448;Posta de Salud Rural Ralco Lepoy;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120448
20-449;120449;Posta de Salud Rural Malla Malla;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120449
20-450;120450;Posta de Salud Rural Malla Palmucho;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;NO;SI;120450
20-451;120451;Posta de Salud Rural La Aguada;8;Del Bíobío;08313;Yumbel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120451
20-452;120452;Posta de Salud Rural Rere;8;Del Bíobío;08313;Yumbel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120452
20-453;120453;Posta de Salud Rural Tomeco;8;Del Bíobío;08313;Yumbel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120453
20-454;120454;Posta de Salud Rural Río Claro;8;Del Bíobío;08313;Yumbel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120454
20-455;120455;Posta de Salud Rural Chillancito;8;Del Bíobío;08303;Cabrero;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;NO;SI;120455
20-456;120456;Posta de Salud Rural Charrúa;8;Del Bíobío;08303;Cabrero;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120456
20-457;120457;Posta de Salud Rural Colicheo;8;Del Bíobío;08303;Cabrero;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120457
20-459;120459;Posta de Salud Rural Trupán;8;Del Bíobío;08312;Tucapel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120459
20-460;120460;Posta de Salud Rural Polcura;8;Del Bíobío;08312;Tucapel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120460
20-461;120461;Posta de Salud Rural Quinel;8;Del Bíobío;08303;Cabrero;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120461
20-462;120462;Posta de Salud Rural Río Pardo;8;Del Bíobío;08309;Quilleco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120462
20-463;120463;Posta de Salud Rural Cañicura;8;Del Bíobío;08309;Quilleco;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120463
20-464;120464;Posta de Salud Rural Cauñicú;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120464
20-465;120465;Posta de Salud Rural Mañihual;8;Del Bíobío;08305;Mulchén;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120465
20-466;120466;Posta de Salud Rural Rapelco;8;Del Bíobío;08305;Mulchén;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120466
20-467;120467;Posta de Salud Rural Chacayal Sur;8;Del Bíobío;08301;Los Ángeles;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120467
20-468;120468;Posta de Salud Rural Virquenco;8;Del Bíobío;08301;Los Ángeles;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120468
20-469;120469;Posta de Salud Rural Los Junquillos;8;Del Bíobío;08311;Santa Bárbara;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120469
20-470;120470;Posta de Salud Rural Alhuelemu;8;Del Bíobío;08305;Mulchén;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120470
20-471;120471;Posta de Salud Rural Butalelbum;8;Del Bíobío;08314;Alto Biobío;20;Bio - Bio;https://saludchiloe.sharepoint.com/:f:/s/ListadeesperaNoGES-RedChilo/Es9a9f_Tt_VBmnrYxBIvB8ABS8_fhxwrAcI07ZI_9IrXMw?e=q8la04;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120471
20-472;120472;Posta de Salud Rural El Castillo;8;Del Bíobío;08311;Santa Bárbara;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120472
20-473;120473;Posta de Salud Rural Canchillas;8;Del Bíobío;08313;Yumbel;20;Bio - Bio;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120473
20-011;120011;PRAIS (S.S Bíobío);8;Del Bíobío;08301;Los Ángeles;20;Bio - Bio;0;No Aplica;No Aplica;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;120011
20-805;120805;SAR Cabrero;8;Del Bíobío;08303;Cabrero;20;Bio - Bio;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120805
20-811;120811;SAPU Paillihue;8;Del Bíobío;08301;Los Ángeles;20;Bio - Bio;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120811
20-815;120815;SAR Norte;8;Del Bíobío;08301;Los Ángeles;20;Bio - Bio;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;120815
20-908;200413;Centro Comunitario de Salud Familiar Villa La Granja;8;Del Bíobío;08305;Mulchén;20;Bio - Bio;0;Primario;Primario;Servicio de Salud;No Autogestionado;NO;;;SI;200413
33-703;133703;Centro Comunitario de Salud Familiar Carlina Paillacar;10;De Los Lagos;10210;Quinchao;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133703
33-725;133725;Centro Comunitario de Salud Familiar Bellavista;10;De Los Lagos;10202;Ancud;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133725
33-740;133740;Centro Comunitario de Salud Familiar Metahue;10;De Los Lagos;10209;Quemchi;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133740
33-745;133745;Centro Comunitario de Salud Familiar Huillinco;10;De Los Lagos;10203;Chonchi;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133745
33-775;133775;Centro Comunitario de Salud Familiar Llau Llao;10;De Los Lagos;10201;Castro;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133775
33-776;133776;Centro Comunitario de Salud Familiar Kintunien;10;De Los Lagos;10201;Castro;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133776
33-796;133796;Centro Comunitario de Salud Familiar Rukalaf;10;De Los Lagos;10208;Quellón;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133796
33-797;133797;Centro Comunitario de Salud Familiar Vista Hermosa;10;De Los Lagos;10208;Quellón;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133797
33-201;133201;Centro Médico Austral;10;De Los Lagos;10201;  ;10;M. Occidente;Centro de Salud;No Aplica;No Aplica;Privado;No Autogestionado;NO;No Especialidad;SI;SI;133201
33-012;133012;Clínica Dental Móvil Triple. Pat. BKYS90 (Castro);10;De Los Lagos;10201;Castro;33;Chiloé;Clínica Dental Móvil;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;133012
33-340;133340;Centro de Salud Familiar Quemchi;10;De Los Lagos;10209;Quemchi;33;Chiloé;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133340
33-345;133345;Centro de Salud Familiar Chonchi;10;De Los Lagos;10203;Chonchi;33;Chiloé;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133345
33-350;133350;Centro de Salud Familiar Dalcahue;10;De Los Lagos;10205;Dalcahue;33;Chiloé;Consultorio General Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133350
33-355;133355;Centro de Salud Familiar Puqueldón;10;De Los Lagos;10206;Puqueldón;33;Chiloé;Consultorio General Rural;Primario;Primario;Municipal;Invitado;NO;Atención de Especialidad;SI;SI;133355
33-360;133360;Centro de Salud Familiar Curaco de Vélez;10;De Los Lagos;10204;Curaco de Vélez;33;Chiloé;Consultorio General Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133360
33-175;133175;Buque Cirujano Videla;10;De Los Lagos;10201;Castro;33;Chiloé;Consultorio General Urbano;Primario;Primario;Otra Institución;No Autogestionado;NO;No Especialidad;SI;SI;133175
33-325;133325;Centro de Salud Familiar Pudeto Bajo;10;De Los Lagos;10202;Ancud;33;Chiloé;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133325
33-375;133375;Centro de Salud Familiar Dr. René Tapia Salgado;10;De Los Lagos;10201;Castro;33;Chiloé;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133375
33-390;133390;Centro de Salud Familiar Dr. Manuel Ferreira Guzman;10;De Los Lagos;10202;Ancud;33;Chiloé;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133390
33-396;133396;Centro de Salud Familiar Quellón;10;De Los Lagos;10208;Quellón;33;Chiloé;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133396
33-909;200009;Centro de Salud Familiar Quillahue;10;De Los Lagos;10201;Castro;33;Chiloé;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;200009
33-010;133010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Chiloé);10;De Los Lagos;10201;Castro;33;Chiloé;Dirección Servicio de Salud;No Aplica;No Aplica;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;133010
33-150;133150;Hospital de Castro;10;De Los Lagos;10201;Castro;33;Chiloé;Establecimiento Alta Complejidad;Secundario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;133150
33-160;133160;Hospital Comunitario de Achao;10;De Los Lagos;10210;Quinchao;33;Chiloé;Establecimiento Baja Complejidad;Primario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;133160
33-165;133165;Hospital de Quellón;10;De Los Lagos;10208;Quellón;33;Chiloé;Establecimiento Baja Complejidad;Primario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;133165
33-170;133170;Hospital Comunitario de Queilén;10;De Los Lagos;10207;Queilén;33;Chiloé;Establecimiento Baja Complejidad;Primario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;133170
33-155;133155;Hospital de Ancud;10;De Los Lagos;10202;Ancud;33;Chiloé;Establecimiento Mediana Complejidad;Secundario;Terciario;Servicio de Salud;No Autogestionado;SI;Atención de Especialidad;SI;SI;133155
33-466;133466;Posta de Salud Rural Curahue;10;De Los Lagos;10201;Castro;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133466
33-467;133467;Posta de Salud Rural Puyán;10;De Los Lagos;10201;Castro;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133467
33-468;133468;Centro Comunitario de Salud Familiar Rilán;10;De Los Lagos;10201;Castro;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133468
33-469;133469;Posta de Salud Rural Quehui;10;De Los Lagos;10201;Castro;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133469
33-470;133470;Posta de Salud Rural Chelín;10;De Los Lagos;10201;Castro;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133470
33-471;133471;Posta de Salud Rural Yutuy;10;De Los Lagos;10201;Castro;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133471
33-472;133472;Posta de Salud Rural Mocopulli;10;De Los Lagos;10205;Dalcahue;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133472
33-473;133473;Posta de Salud Rural Quetalco;10;De Los Lagos;10205;Dalcahue;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133473
33-474;133474;Posta de Salud Rural Calén;10;De Los Lagos;10205;Dalcahue;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133474
33-475;133475;Posta de Salud Rural Aldachildo;10;De Los Lagos;10206;Puqueldón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133475
33-476;133476;Posta de Salud Rural Ichuac;10;De Los Lagos;10206;Puqueldón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133476
33-477;133477;Posta de Salud Rural Detif;10;De Los Lagos;10206;Puqueldón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133477
33-478;133478;Posta de Salud Rural Liucura (Puqueldón);10;De Los Lagos;10206;Puqueldón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133478
33-480;133480;Posta de Salud Rural Terao;10;De Los Lagos;10203;Chonchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133480
33-482;133482;Posta de Salud Rural Chanquín;10;De Los Lagos;10203;Chonchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133482
33-483;133483;Posta de Salud Rural Petanes Bajos;10;De Los Lagos;10203;Chonchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133483
33-484;133484;Posta de Salud Rural Rauco;10;De Los Lagos;10203;Chonchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133484
33-485;133485;Posta de Salud Rural Linao;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133485
33-486;133486;Posta de Salud Rural Chacao;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133486
33-487;133487;Posta de Salud Rural Quetalmahue;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133487
33-488;133488;Posta de Salud Rural Nal;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133488
33-489;133489;Posta de Salud Rural Manao;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133489
33-490;133490;Posta de Salud Rural Guabún;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133490
33-491;133491;Posta de Salud Rural Puntra;10;De Los Lagos;10202;Ancud;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133491
33-492;133492;Posta de Salud Rural Lliuco (Quemchi);10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133492
33-493;133493;Posta de Salud Rural Morrolobos;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133493
33-494;133494;Posta de Salud Rural Quinterquén;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133494
33-495;133495;Posta de Salud Rural Montemar;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133495
33-496;133496;Posta de Salud Rural Tenaún;10;De Los Lagos;10205;Dalcahue;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133496
33-497;133497;Posta de Salud Rural Quicaví;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133497
33-498;133498;Posta de Salud Rural Agoni Alto;10;De Los Lagos;10207;Queilén;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133498
33-499;133499;Posta de Salud Rural Alqui;10;De Los Lagos;10207;Queilén;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133499
33-500;133500;Posta de Salud Rural Apeche;10;De Los Lagos;10207;Queilén;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133500
33-501;133501;Posta de Salud Rural Pío - Pío;10;De Los Lagos;10207;Queilén;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133501
33-502;133502;Posta de Salud Rural Nepúe;10;De Los Lagos;10207;Queilén;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;133502
33-503;133503;Posta de Salud Rural Quinchao;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133503
33-504;133504;Posta de Salud Rural Isla Lin-Lin;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;Atención de Especialidad;SI;SI;133504
33-505;133505;Posta de Salud Rural Isla Llingua;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133505
33-506;133506;Centro Comunitario de Salud Familiar Isla Meulín;10;De Los Lagos;10210;Quinchao;33;Chiloé;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133506
33-507;133507;Posta de Salud Rural Isla Quenac;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133507
33-509;133509;Posta de Salud Rural Isla Cahuach;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133509
33-510;133510;Posta de Salud Rural Isla Alao;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133510
33-511;133511;Posta de Salud Rural Capilla Antigüa;10;De Los Lagos;10210;Quinchao;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133511
33-512;133512;Posta de Salud Rural Huyar Alto;10;De Los Lagos;10204;Curaco de Vélez;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133512
33-513;133513;Posta de Salud Rural Palqui;10;De Los Lagos;10204;Curaco de Vélez;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133513
33-514;133514;Posta de Salud Rural Mechuque;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133514
33-515;133515;Posta de Salud Rural Tac;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133515
33-517;133517;Posta de Salud Rural Voigue;10;De Los Lagos;10209;Quemchi;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133517
33-522;133522;Posta de Salud Rural Curanue;10;De Los Lagos;10208;Quellón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133522
33-523;133523;Posta de Salud Rural Candelaria (Quellón);10;De Los Lagos;10208;Quellón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133523
33-524;133524;Posta de Salud Rural Compu;10;De Los Lagos;10208;Quellón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133524
33-525;133525;Posta de Salud Rural San Juan de Chadmo;10;De Los Lagos;10208;Quellón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133525
33-526;133526;Posta de Salud Rural Pelu;10;De Los Lagos;10208;Quellón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133526
33-527;133527;Posta de Salud Rural Punta Liles o Laitec;10;De Los Lagos;10208;Quellón;33;Chiloé;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;133527
