CODIGO;Código Nuevo;NOMBRE;Región Codigo;Región Nombre;COMUNA;Nom. Comuna;SS Codigo;SS Nombre;Tipo de Establecimiento;Nivel de Atención;Nivel de Atención DEIS;Dependencia de Ejecución;Certificación;Hospital;Especialidad;ACTIVO;Vigente;Código Nuevo
29-404;129404;Posta de Salud Rural Cuartel Quemado;9;De La Araucanía;09208;Purén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;129404
29-405;129405;Posta de Salud Rural Coyancahuín;9;De La Araucanía;09208;Purén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129405
29-406;129406;Posta de Salud Rural El Lingue;9;De La Araucanía;09208;Purén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129406
29-407;129407;Posta de Salud Rural San Ramón de Los Sauces;9;De La Araucanía;09206;Los Sauces;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129407
29-408;129408;Posta de Salud Rural Trintre;9;De La Araucanía;09206;Los Sauces;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129408
29-409;129409;Posta de Salud Rural Tijeral;9;De La Araucanía;09209;Renaico;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129409
29-410;129410;Posta de Salud Rural Maica;9;De La Araucanía;09202;Collipulli;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129410
29-411;129411;Posta de Salud Rural Mininco;9;De La Araucanía;09202;Collipulli;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129411
29-412;129412;Posta de Salud Rural La Batalla;9;De La Araucanía;09202;Collipulli;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129412
29-413;129413;Posta de Salud Rural Amargo;9;De La Araucanía;09202;Collipulli;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129413
29-414;129414;Posta de Salud Rural Niblinto;9;De La Araucanía;09202;Collipulli;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129414
29-415;129415;Posta de Salud Rural Chequenco;9;De La Araucanía;09204;Ercilla;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129415
29-416;129416;Posta de Salud Rural Aniñir;9;De La Araucanía;09210;Traiguén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129416
29-417;129417;Posta de Salud Rural Molco;9;De La Araucanía;09210;Traiguén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129417
29-418;129418;Posta de Salud Rural Quechereguas;9;De La Araucanía;09210;Traiguén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129418
29-419;129419;Posta de Salud Rural Santa Rosa (Los Sauces );9;De La Araucanía;09206;Los Sauces;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;NO;SI;129419
29-420;129420;Posta de Salud Rural Temulemu;9;De La Araucanía;09210;Traiguén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129420
29-421;129421;Posta de Salud Rural Quilquén;9;De La Araucanía;09210;Traiguén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129421
29-423;129423;Posta de Salud Rural Pichipellahuén;9;De La Araucanía;09207;Lumaco;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;NO;SI;129423
