Propuesta de Código;Tipo de LE;Glosa;Especialidad;tipo de Especialidad;Complejidad Nueva;Oncológicas;Edad_Min año;Edad_Max año;Edad_Min días;Edad_Max días
09-001;NO GES;Cirugía Y Traumatología Buco Maxilofacial;Cirugía Y Traumatología Buco Maxilofacial;Odontológica;Consulta;;0;150;0;54787,5
09-002;NO GES;Cirugía Bucal;Cirugía Bucal;Odontológica;Consulta;;0;150;0;54787,5
09-003;NO GES;Endodoncia;Endodoncia;Odontológica;Consulta;;0;150;0;54787,5
09-004;NO GES;Imagenología Oral Y Maxilofacial;Imagenología Oral Y Maxilofacial;Odontológica;Consulta;;0;150;0;54787,5
09-005;NO GES;Implantologia Buco Maxilofacial;Implantologia Buco Maxilofacial;Odontológica;Consulta;;0;150;0;54787,5
09-007;NO GES;Odontopediatría;Odontopediatría;Odontológica;Consulta;;0;15;0;5478,75
09-008;NO GES;Ortodoncia Y Ortopedia Dento Máxilo Facial;Ortodoncia Y Ortopedia Dento Máxilo Facial;Odontológica;Consulta;;0;150;0;54787,5
09-009;NO GES;Patología Oral;Patología Oral;Odontológica;Consulta;;0;150;0;54787,5
09-010;NO GES;Periodoncia;Periodoncia;Odontológica;Consulta;;0;150;0;54787,5
09-030;NO GES;Rehabilitación Oral Fija;Rehabilitación Oral Fija;Odontológica;Consulta;;15;150;5478,75;54787,5
09-011;NO GES;Rehabilitación Oral Removible;Rehabilitación Oral Removible;Odontológica;Consulta;;15;150;5478,75;54787,5
09-014;NO GES;Trastornos Temporomandibulares Y Dolor Orofacial;Trastornos Temporomandibulares Y Dolor Orofacial;Odontológica;Consulta;;0;150;0;54787,5
07-002;NO GES;Anestesiología;Anestesiología;Médica;Consulta;;0;150;0;54787,5
07-003;NO GES;Cardiología;Cardiología;Médica;Consulta;;15;150;5478,75;54787,5
07-004;NO GES;Cirugía General;Cirugía General;Médica;Consulta;;15;150;5478,75;54787,5
07-005;NO GES;Cirugía De Cabeza, Cuello Y Maxilofacial;Cirugía De Cabeza, Cuello Y Maxilofacial;Médica;Consulta;;15;150;5478,75;54787,5
07-006;NO GES;Cirugía Cardiovascular;Cirugía Cardiovascular;Médica;Consulta;;0;150;0;54787,5
07-007;NO GES;Cirugía De Tórax;Cirugía De Tórax;Médica;Consulta;;15;150;5478,75;54787,5
07-008;NO GES;Cirugía Plástica Y Reparadora;Cirugía Plástica Y Reparadora;Médica;Consulta;;0;150;0;54787,5
07-009;NO GES;Cirugía Pediátrica;Cirugía Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-010;NO GES;Cirugía Vascular Periférica;Cirugía Vascular Periférica;Médica;Consulta;;15;150;5478,75;54787,5
07-011;NO GES;Coloproctología;Coloproctología;Médica;Consulta;;15;150;5478,75;54787,5
07-012;NO GES;Dermatología;Dermatología;Médica;Consulta;;0;150;0;54787,5
07-013;NO GES;Diabetología;Diabetología;Médica;Consulta;;0;150;0;54787,5
07-014;NO GES;Endocrinología Adulto;Endocrinología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-015;NO GES;Endocrinología Pediátrica;Endocrinología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-016;NO GES;Enfermedades Respiratorias Del Adulto (Broncopulmonar);Enfermedades Respiratorias Del Adulto (Broncopulmonar);Médica;Consulta;;15;150;5478,75;54787,5
07-017;NO GES;Enfermedades Respiratorias Pediátricas (Broncopulmonar Pediatrico);Enfermedades Respiratorias Pediátricas (Broncopulmonar Pediatrico);Médica;Consulta;;0;15;0;5478,75
07-018;NO GES;Gastroenterología Adulto;Gastroenterología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-019;NO GES;Gastroenterología Pediátrica;Gastroenterología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-020;NO GES;Genética Clínica;Genética Clínica;Médica;Consulta;;0;150;0;54787,5
07-021;NO GES;Geriatría;Geriatría;Médica;Consulta;;60;150;21915;54787,5
07-022;NO GES;Ginecología Pediátrica Y De La Adolescencia;Ginecología Pediátrica Y De La Adolescencia;Médica;Consulta;;0;18;0;6574,5
07-023;NO GES;Hematología;Hematología;Médica;Consulta;;15;150;5478,75;54787,5
07-024;NO GES;Imagenología;Imagenología;Médica;Consulta;;0;150;0;54787,5
07-025;NO GES;Infectología;Infectología;Médica;Consulta;;0;150;0;54787,5
07-026;NO GES;Inmunología;Inmunología;Médica;Consulta;;0;150;0;54787,5
07-027;NO GES;Laboratorio Clínico;Laboratorio Clínico;Médica;Consulta;;0;150;0;54787,5
07-028;NO GES;Medicina Familiar;Medicina Familiar;Médica;Consulta;;0;150;0;54787,5
07-029;NO GES;Medicina Física Y Rehabilitación (Fisiatria Adulto);Medicina Física Y Rehabilitación (Fisiatria Adulto);Médica;Consulta;;0;150;0;54787,5
07-030;NO GES;Medicina Interna;Medicina Interna;Médica;Consulta;;15;150;5478,75;54787,5
07-037;NO GES;Nefrología Adulto;Nefrología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-038;NO GES;Nefrología Pediátrico;Nefrología Pediátrico;Médica;Consulta;;0;15;0;5478,75
07-039;NO GES;Neonatología;Neonatología;Médica;Consulta;;0;0,2;0;73,05
07-040;NO GES;Neurocirugía;Neurocirugía;Médica;Consulta;;0;150;0;54787,5
07-041;NO GES;Neurología Adulto;Neurología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-042;NO GES;Neurología Pediátrica;Neurología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-044;NO GES;Oftalmología;Oftalmología;Médica;Consulta;;0;150;0;54787,5
07-045;NO GES;Oncología Médica;Oncología Médica;Médica;Consulta;;0;150;0;54787,5
07-046;NO GES;Otorrinolaringología;Otorrinolaringología;Médica;Consulta;;0;150;0;54787,5
07-047;NO GES;Pediatría;Pediatría;Médica;Consulta;;0;15;0;5478,75
07-048;NO GES;Psiquiatría Adulto;Psiquiatría Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-049;NO GES;Psiquiatría Pediátrica Y De La Adolescencia;Psiquiatría Pediátrica Y De La Adolescencia;Médica;Consulta;;0;18;0;6574,5
07-051;NO GES;Reumatología;Reumatología;Médica;Consulta;;15;150;5478,75;54787,5
07-052;NO GES;Salud Pública;Salud Pública;Médica;Consulta;;0;150;0;54787,5
07-053;NO GES;Traumatología Y Ortopedia;Traumatología Y Ortopedia;Médica;Consulta;;15;150;5478,75;54787,5
07-054;NO GES;Urología;Urología;Médica;Consulta;;15;150;5478,75;54787,5
07-055;NO GES;Cardiología Pediátrica;Cardiología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-056;NO GES;Cirugía Digestiva;Cirugía Digestiva;Médica;Consulta;;15;150;5478,75;54787,5
07-057;NO GES;Cirugía Plastica Y Reparadora Pediátrica;Cirugía Plastica Y Reparadora Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-058;NO GES;Ginecología;Ginecología;Médica;Consulta;;15;150;5478,75;54787,5
07-059;NO GES;Hemato-Oncología Pediátrica;Hemato-Oncología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-060;NO GES;Infectología Pediatrica;Infectología Pediatrica;Médica;Consulta;;0;15;0;5478,75
07-061;NO GES;Medicina Familiar Del Niño;Medicina Familiar Del Niño;Médica;Consulta;;0;15;0;5478,75
07-062;NO GES;Medicina Fisica Y Rehabilitación Pediátrica (Fisiatria Pediatrica);Medicina Fisica Y Rehabilitación Pediátrica (Fisiatria Pediatrica);Médica;Consulta;;0;15;0;5478,75
07-063;NO GES;Nutriólogo;Nutriólogo;Médica;Consulta;;0;150;0;54787,5
07-064;NO GES;Nutriólogo Pediátrico;Nutriólogo Pediátrico;Médica;Consulta;;0;15;0;5478,75
07-065;NO GES;Reumatología Pediátrica;Reumatología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-066;NO GES;Obstetricia;Obstetricia;Médica;Consulta;;9;50;3287,25;18262,5
07-067;NO GES;Traumatología Y Ortopedia Pediátrica;Traumatología Y Ortopedia Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-068;NO GES;Urología Pediátrica;Urología Pediátrica;Médica;Consulta;;0;15;0;5478,75
11-03-001;NO GES;Aneurisma coroideo de cuero cabelludo, tratamiento. Quirurgico.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-002;NO GES;Sinus pericrani, tratamiento. Quirurgico.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-003;NO GES;Hundimiento del cráneo simple, reparación de;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-004;NO GES;Defecto óseo Craneoplastía con autoinjerto;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-005;NO GES;Defecto óseo Craneoplastía con prótesis (no incluye valor de la prótesis);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-006;NO GES;Defecto Óseo Tumores de calota, extirp. De;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-007;NO GES;Defecto óseo Osteomielitis, limpieza quirúrgica;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-008;NO GES;Defecto óseo Craniectomías descompresivas;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-009;NO GES;Defecto Óseo Reparación de fractura crecedora;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-010;NO GES;Craneoestenosis Craneotomías lineales;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-011;NO GES;Craniectomías c/s remodelación ósea;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-012;NO GES;Craniectomías c/s remodelación ósea (honorario 2° Cirujano);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-014;NO GES;Encéfalo y Envolturas Hematoma o absceso extradural, vaciamiento de;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-015;NO GES;Encéfalo y Envolturas Reparación de fístula de LCR;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-016;NO GES;Encéfalo y Envolturas Hematoma, empiema o colección subdural, vaciamiento de;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-017;NO GES;Encéfalo y Envolturas Quistes aracnoidales encefálicos, tratamiento. Quirurgico. (suprasellares, temporales, cerebelosos, etc.);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-018;NO GES;Encéfalo y Envolturas Ventriculostomía o instalación de derivativa ventricular externa o instalación de captor para medición de pic o punción biopsia o reservorio para administración de medicamentos;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-019;NO GES;Encéfalo y Envolturas Absceso cerebral, tratamiento. Quirurgico.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-020;NO GES;Encéfalo y Envolturas Herida por bala craneoencefálica y/o extirpación de cuerpo extraño;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-021;NO GES;Encéfalo y Envolturas Hundimiento expuesto, repararacion. De;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-022;NO GES;Encéfalo y Envolturas Lobectomías por contusión cerebral;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-023;NO GES;Encéfalo y Envolturas Hematoma intracerebral, vaciamiento de;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-024;NO GES;Tumores y/o quistes y/o cavernoma (extirpación) De base de cráneo;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-025;NO GES;Tumores y/o quistes y/o cavernoma (extirpación) Intraorbitarios;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-026;NO GES;Tumores y/o quistes y/o cavernoma (extirpación) Encefálicos y de hipófisis;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-027;NO GES;Lesiones vasculares TTO quirúrgico Aneurismas, malformaciones arteriovenosas encefálicas u orbitarias, fístulas dúrales;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-028;NO GES;Fístula carótida cavernosa tratamiento endovascular;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-029;NO GES;Fístula carótida cavernosa, tratamiento quirúrgico.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-030;NO GES;Anastomosis y revascularización cerebral endodurosinangiosis;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-031;NO GES;Anastomosis y revascularización cerebral extra-intracraneana (cirugía de carótida: ver Cirugía Vascular Periférica);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-032;NO GES;Cirugía derivativa de LCR Instalación de derivativas de LCR (no incluye valor de la válvula);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-033;NO GES;Cirugía derivativa de LCR Revisión o exteriorización de derivativa;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-034;NO GES;Cirugía derivativa de LCR Ventriculocisternostomía;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-035;NO GES;Cirugía derivativa de LCR Fenestración, septostomía o coagulación plexos coroídeos (tratamiento. endoscópico);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-036;NO GES;Malformaciones Cirugía descompresiva de fosa posterior u occipito-vertebral en Arnol Chiari, siringomielia;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-037;NO GES;Malformaciones Meningo y meningoencefalocele occipital, repar. De;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-038;NO GES;Nervios Craneanos Cirugía descompresiva neurovascular;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-039;NO GES;Nervios Craneanos Neurotomías;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-040;NO GES;Nervios Craneanos Neurolisis o microcompresión percutánea;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-041;NO GES;Cirugía de la epilepsia (cualquier técnica);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-042;NO GES;Estereotaxia y Cirugía Funcional Biopsia ( Neurocirugía );Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-043;NO GES;Estereotaxia y Cirugía Funcional Coagulación de núcleos o vías encefálicas;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-044;NO GES;Estereotaxia y Cirugía Funcional Implantación de isótopos (braquiterapia) (no incluye valor del radiofármaco);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-045;NO GES;Estereotaxia y Cirugía Funcional Implantación de estimuladores intracraneanos;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-046;NO GES;Columna y Médula Instalación de estimuladores medulares;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-047;NO GES;Columna y Médula Disrafias espinales: meningocele, mielomeningocele, diastematomielia, lipoma, lipomeningocele, médula anclada, etc.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-048;NO GES;Columna y Médula Neurotomía facetaria percutánea;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-049;NO GES;Hernia núcleo pulposo, estenorraquis, aracnoiditis, fibrosis perirradicular cervical, dorsal o lumbar, trat. quirurgico.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-050;NO GES;Laminectomía descompresiva;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-051;NO GES;Heridas raquimedulares, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-052;NO GES;Tumor vertebral, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-053;NO GES;Tumor o quiste medular o intrarraquídeo, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-054;NO GES;Malformación arteriovenosa o fístula dural medular, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-055;NO GES;Cordotomía percutánea;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-056;NO GES;Mielotomía, Dreztomía;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-057;NO GES;Rizotomía (cualquier técnica);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-058;NO GES;Tumor de nervio periférico, extirp. De;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
11-03-059;NO GES;Nervios Periféricos y Plexos Reparación de plexos c/s neurotización con técnica microquirúrgica o injertos interfasciculares;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-060;NO GES;Sección de nervio, reparación con injerto;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-061;NO GES;Sección de nervio, reparación sin injerto;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-062;NO GES;Neurolisis con técnica microquirúrgica;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-063;NO GES;Neurolisis externa;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-064;NO GES;Síndrome del escaleno, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-065;NO GES;Síndrome de costilla cervical, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-066;NO GES;Síndrome del túnel del carpo o del tarso u otro, trat. quir.;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-067;NO GES;Nervios Periféricos Transposición cubital, repar. De;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-068;NO GES;Neurectomía, cualquier localización, cada zona quirúrgica;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-069;NO GES;Fijación de columna (cervical ¿ dorsal ¿ lumbar) cualquier vía abordaje, c/s osteosíntesis;Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-132;NO GES;Instalación de derivativas de LCR (incluye valor de la válvula);Neurocirugía;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
11-03-XXX;NO GES;NEUROLOGIA Y NEUROCIRUGIA;Neurocirugía;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-001;NO GES;Vía lagrimal Intubación;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-002;NO GES;Puntos lagrimales, plastía de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-003;NO GES;Vía lagrimal Reconstitución de canalículos;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-004;NO GES;Saco y / o glándula lagrimal Absceso, vaciamiento y/o drenaje de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-005;NO GES;Saco y / o glándula lagrimal Dacriocistorrinostomía;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-006;NO GES;Saco y / o glándula lagrimal Extirpación de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-007;NO GES;Reconstitución vía lagrimal en ausencia del saco;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-008;NO GES;Tumor de glándula lagrimal, trat. quir. completo;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-009;NO GES;Tumor maligno  del saco, trat. quir. completo;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
12-02-010;NO GES;Párpado y ceja Absceso de parpadoPárpado y ceja Absceso de parpado y ceja, trat. quir.;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-011;NO GES;Biopsia de párpado y/o anexos (proc. aut.);Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-012;NO GES;Párpado y ceja Blefarochalasis, plastía de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-013;NO GES;Párpado y ceja Blefarofimosis, plastía de;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-014;NO GES;Párpado y ceja Blefarorrafia con blefarotomía posterior;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-015;NO GES;Párpado y ceja Cantoplastía;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-016;NO GES;Chalazión y otros tumores benignos (uno o más en el mismo ojo), trat. quir. Completo;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-017;NO GES;Párpado y ceja Coloboma, plastía de;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-018;NO GES;Párpado y ceja Ectropión, plastía de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-019;NO GES;Párpado y ceja Entropión, plastía de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-020;NO GES;Epicanto, plastía de;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-021;NO GES;Párpado y ceja Ptosis, trat. quir.;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-022;NO GES;Quiste dermoide de la cola de la ceja, resec. plástica;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-023;NO GES;Párpado y ceja Tumor maligno, trat. quir. Completo;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica Oncológica;;;;
12-02-024;NO GES;Párpado y ceja Xantelasma, trat. quir.;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-025;NO GES;Conjuntiva  Herida o dehiscencia, sutura de (proc. aut.);Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-026;NO GES;Pterigión y/o pseudopterigión o su recidiva, extirpación;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-027;NO GES;Simbléfaron, resección de adherencias y plastía de;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-028;NO GES;Conjuntiva Tumor benigno, extirp. De;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-029;NO GES;Absceso de orbita, tratamiento quirurgico.;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-030;NO GES;Orbita Corrección de cavidad anoftálmica trat. Completo;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-031;NO GES;Cuerpo extraño orbitario (con orbitotomía);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-032;NO GES;Exanteración orbitaria o tumor orbitario, trat. quirúrgico completo;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-033;NO GES;Orbitotomía anterior;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-034;NO GES;Orbitotomía lateral descompresiva;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-035;NO GES;Biopsia de globo ocular (proc. aut.);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-036;NO GES;Enucleación o implante de prótesis ocular (proc. aut.);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-037;NO GES;Enucleación con implante de prótesis ocular;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-038;NO GES;Estrabismo, trat. quir. completo (uno o ambos ojos);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-039;NO GES;Exanteración ocular (proc. aut.);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-040;NO GES;Globo y Músculos oculares Lesión traumática, sutura de (proc. aut.);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-041;NO GES;Cornea y Esclerótica Cirugía refractiva, queratotomía radial o similar con bisturí de diamante;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-042;NO GES;Cornea y Esclerótica Crioterapia y recesión conjuntival;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-044;NO GES;Cuerpo extraño, extracción quir. De Cornea y Esclerótica;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-045;NO GES;Glaucoma, trat. quir. por cualquier técnica;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-046;NO GES;Herida penetrante corneal o corneo-escleral o dehiscencia de sutura;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-047;NO GES;Queratectomía laminar Cornea y Esclerótica;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-048;NO GES;Cornea y Esclerótica Queratoplastía. Injerto lamelar o penetrante trat. quir. Completo;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-049;NO GES;Cornea y Esclerótica Queratoprótesis, implantación de (no incluye el valor de la prótesis);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-050;NO GES;Recubrimiento conjuntival;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-051;NO GES;Rehabilitación superficie ocular (con injerto de mucosa);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-053;NO GES;Iris y cuerpo Ciliar Iridectomía periférica y/u óptica, (proc. aut.);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-054;NO GES;Tumor, tratamiento  quirúrgico. Iris y Cuerpo Ciliar;Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-055;NO GES;Coroides, cámara posterior y retina Desgarro sin desprendimiento, diatermo y/o crío y/o fotocoagulación;Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
12-02-056;NO GES;Desprendimiento retinal, cirugía convencional (exoimplantes);Oftalmología;;Cirugía Mayor;Intervención Quirúrgica No Oncológica;;;;
12-02-057;NO GES;Retinopatía proliferativa, (diabética, hipertensiva, Eales y otras) panfotocoagulación (trat. completo);Oftalmología;;Cirugía Menor;Intervención Quirúrgica No Oncológica;;;;
