Código;Prestación;COD;Tipo de lista;Vigencia Entrada;Vigencia Salida;Nombre Tipo de Procedimiento;Especialidad;Edad_Min año;Edad_Max año;tipo de Especialidad
17-01-002;Electrocardiograma Esofagico;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-003;Ergometría (Incluye E.C.G. Antes, Durante Y Después Del Ejercicio Con Monitoreo Continuo Y Medición De La Intensidad Del Esfuerzo);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-004;En Adultos O Ninos;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-005;Mapeo Epicardico Durante Intervencion Quirurgica.;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-006;"E.C.G. Continuo (Test Holter O Similares, Por Ej. Variabilidad De La Frecuencia Cardíaca Y/O Alta Resolución Del St Y/O Depolarización Tardía); 20 A 24 Horas De Registro";3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-007;Ecocardiograma Doppler, Con Registro (Incluye Cód. 17.01.008);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-008;Ecocardiograma Bidimensional (Incluye Registro Modo M, Papel Fotosensible Y Fotografía), En Adultos O Niños (Proc. Aut.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-009;Monitoreo Continuo De Presion Arterial;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-010;Sondeo Cardíaco Derecho C/S Termodilución, En Adultos O Niños;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-011;Sondeo Cardíaco Izquierdo Y Derecho, En Adultos O Niños;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-012;Sondeo Cardíaco Izquierdo, En Adultos O Niños;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-013;Cateterismo En Recien Nacido Por Arteria Umbilical;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-014;Instalacion De Cateter Swan-Ganz O Similar, En Adultos O Ninos;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-015;Doppler Con Ergometria (Por Sesion);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-016;Doppler Simple De Vasos Perifericos (Por Sesion);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-017;Pletismografia En Reposo, Esfuerzo C/U (Por Sesion);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-018;Registro Ecoarterial O Ecovenoso Periferico C/U (Por Sesion);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-019;Cinecoronariografía Derecha Y/O Izquierda (Incluye Sondeo Cardíaco Izquierdo  Y Ventriculografía Izquierda);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-020;Ventriculografía Derecha, En Adultos O Niños (Incl. Proc. Rad., Y Sondeo Cardíaco Derecho);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-021;Ventriculografía Izquierda, En Adultos O Niños (Incl. Proc. Rad., Y Sondeo Cardíaco Izquierdo);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-022;Aortografía, En Adultos O Niños (Incluye Proc. Rad.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-023;Arteriografía De Extremidades, En Adultos O Niños (Incluye Proc. Rad.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-024;Arteriografía Selectiva O Superselectiva (Pulmonar, Renal, Tronco Celíaco, Etc) En Adultos O Niños (Incl. Proc. Rad.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-025;Cavografia (A.C. 04-02-035);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-026;Flebografia De Cada Extremidad (A.C.04-02-038);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-027;Flebografia Yugular, Suprarrenal, Portografia Transhepaticas, Lumbar, Espermatica O Similar C/U (A.C. 04-02-041);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-030;Punción Evacuadora De Pericardio, C/S Toma De Muestra C/S Inyección De Medicamento;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-031;Angioplastia Intraluminal Coronaria Proc.Cardiológico (A.C.04-02-022);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-032;Angioplastia Intraluminal Periférica Proc.Cardiológico (A.C.04-02-023);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-033;Biopsia Endomiocárdica (Proc. Completo);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-034;Cardioversion;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-035;Colocación De Sonda Marcapaso Transitorio (Proc. Completo);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-036;Desfibrilacion;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-037;Puncion Subclavia O Yugular Con Colocacion De Cateter;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-038;Septostomía De Rashkind;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-039;Trombolisis Arterial Periferica;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-040;Trombolisis Intracoronaria;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-041;Valvuloplastia Mitral (A.C. 04-02-033);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-042;Valvuloplastia Aortica Y/O Pulmonar,C/U (A.C. 04-02-033);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-043;Angioplastía De Coartación Aórtica (Incl. Proc. Rad.) (Proc. Completo);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-045;Ecocardiograma Doppler Color;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-046;Estudio Electrofisiologico Endocardiaco De Las Arritmias;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-050;Ablacion Con Corriente Continua O Radiofrecuencia De Nodulo;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-051;Ablacion Con Corriente Continua O Con Radiofrecuencia De Vias Accesorias Y Otros;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-055;Ecocardiagrama Doppler Color Transesofagico;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-01-131;"Angioplastía Intraluminal Coronaria Uno O Multiples Vasos (Incl. Proc. Rad; Balón, Rotablator, Stent O Similar)";3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-132;Angioplastía Intraluminal Periférica (Incluye Proc. Rad., Balón, Stent O Similar);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-141;Valvuloplastía Mitral O Tricúspide (Incl. Proc. Radiológico,  Incluye Balón);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-142;Valvuloplastía Aórtica Y/O Pulmonar C/U (Incl. Proc. Radiológico,  Incluye Balón);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-01-144;Angioplastía De Arteria Pulmonar O Vena Cava En Niños (Incluye Proc. Rad., Balón, Stent O Similar);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;CARDIOLOGIA  / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Cardiología;0;150;Médica
17-03-023;Denudación Venosa (Proc. Aut);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-001;Espirometría Basal;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-002;Espirometria Basal Y Con Broncodilatador;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-003;Provocacion Con Antigeno (Incluye El Antigeno);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-004;Provocacion Con Ejercicio, Test De;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-005;Provocacion Con Histamina (Pd 20),Test De, (Incluye La Espirometría Basal Y El Tratamiento De Los Efectos Advesos De La Histamina);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-006;Test Espirometrico De Posicion Lateral;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-007;Analisis De Gas Espirado;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-008;Capacidad De Difusion, Estudio De;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-009;Capacidad Fisica Del Trabajo;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-010;Curva De Lavado De Nitrogeno (N);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-011;Curva De Relajacion Flujovolumen Basal ;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-012;"Distensibilidad Pulmonar, (""Compliance""), Estudio De";3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-013;Medicion De Presion De Oclusion;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-014;Medicion De Presion Inspiratoria Maxima (Proc. Aut.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-015;Medicion De Presion Trans-Diafragmatica;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-016;Registro Flujometrico, Por Semana;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-017;Respuesta Respiratoria Al Co2;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-018;Tiempo De Tolerancia A La Fatiga Respiratoria;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-019;Ventilacion Alveolar, Estudio De (Incluye Ventilacion Minuto;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-020;Volumen Residual, Estudio De Medicion De Volumenes Y Capacidades Pulmonares (Incluye Volumen Residual Y Capacidad Vital);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-021;Laringotraqueobroncoscopia Con Fibroscopio;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-022;Larigotraqueoscopia Con Tubo Rigido;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-023;Mediastinoscopia C/S Biopsia;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-024;Pleuroscopia (Toracoscopia) C/S Biopsia;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-025;Procedimiento Para Determinar Gasometria Arterial En  Reposo;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-026;Procedimiento Para Determinar Gasometria Arterial Respirando;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-027;Broncoaspiración, C/S Lavado Y/O Colocación De Medicamentos Por Sonda Traqueobronquial (Proc. Aut.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-029;Toracocentesis Evacuadora,C/S Toma De Muestras;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-030;Aerosolterapia Con Aire Comprimido Y Oxigeno (En Atencion Cerrada, Incluida En Valor Dia Cama);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-032;Biopsia Pleural (Con Aguja);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-033;Biopsia Pulmonar (Con Aguja) No Incluye La Radiologia;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-034;Cuerpo Extrano De Bronquio, Extraccion Por Via;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-035;Inmunoterapia Por Bcg;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-036;Inmunoterapia Por Sesion (Incluye El Tratamiento De;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-037;Intubacion Traqueal (Proc. Aut.);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-038;Monitoreo O Estudio De Apnea Durante El Sueno.;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-050;Provocacion Bronquial Con Histamina Y/O Metacolina;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-051;Curva Dosis Respuesta A Broncodilatadores.;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-052;Monitorizacion Saturacion De O2 Durante El Sueno.;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-053;Monitorizacion Saturacion De O2 Durante El Sueno Con Presion Positiva Continua Nasal;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-054;Saturacion De O2 En Reposo Y/O Ejercicio (Con Oximetro);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
17-07-055;Saturacion De O2 En Reposo Y/O Ejercicio Y/O O2 100% (Con  Oximetro);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIM.CARDIOLOGIA, NEUMOLOG., CARDIOVASC. Y TORAX;Cardiología;0;150;Médica
18-01-001;Gastroduodenoscopía (Incluye Esofagoscopía);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;GASTROENTEROLOGIA / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Gastroenterología;0;150;Médica
18-01-002;Esofagoscopia;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-003;Yeyuno-Ileoscopía (Incluye Esofago-Gastro-Duodenoscopía);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;GASTROENTEROLOGIA / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Gastroenterología;0;150;Médica
18-01-004;Ano-Recto-Sigmoidoscopia En Adultos;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-005;Ano-Recto-Sigmoidescopia En Niños (Además Anestesia Cód. 22-01-001 Si Corresponde);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-006;Colonoscopía Larga (Incluye Sigmoidoscopía Y Colonoscopía Izquierda);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;GASTROENTEROLOGIA / PROCEDIMIENTOS DIAGNOSTICO Y TERAPEUTICO.;Gastroenterología;0;150;Médica
18-01-007;Sigmoidoscopia Y Colonoscopia Izquierda Con Tubo Flexible;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-008; Coledocoscopia Intraoperatoria C/S Extraccion De Calculos;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-009; Peritoneoscopia Transparietal (Incluye El Neumoperitoneo);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-010; Bernstein, Test De;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-011; Manometria Esofagica;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-012; Reflujo Acido, Test De (Grossman O Similar) O Reflujo;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-013;Sondeo Gastrico Con Estimulacion De Insulina (Hollander);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-014;Vaciamiento Gastrico, Test De (Goldstein O Similar);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-015;Biopsia De Intestino Delgado, Por Capsula (De Rubin,Crosby O Sim);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-016; Puncion Biopsia Transparietal De Organos Abdominales C/U;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-018;Colangiopancreatografia Retrograda, Por Intubacion Endoscopica Con La Ampolla De Vater (Incluye Endoscopia) (A.C 04-02-009);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-019;Drenaje De La Via Biliar Transhepatica Y/O Percutaneo (A.C.;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-020;Fistulografia (A.C. 04-02-009);3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
18-01-021;Neumoperitoneo Por Puncion Transparietal;3;Exámenes y Procedimientos;31-12-2008;31-12-2050;PROCEDIMIENTOS DE GASTROENTEROLOGÍA;Gastroenterología;0;150;Médica
