CODIGO;Base REM;Tipo de Prestación;Código SIGTE;NOMBRE;Especialidad;Complejidad Nueva;Temporabilidad;Vigencia Entrada;Vigencia Salida
1704040;SI;4;17-04-040;Lobectomía o bilobectomía;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704041;SI;4;17-04-041;Metástasis bilateral pulmón, trat. quir. por esternotomía;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704042;SI;4;17-04-042;Metástasis unilateral pulmón;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704043;SI;4;17-04-043;Neumonectomía c/s resección de pared costal;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704045;SI;4;17-04-045;Quistectomía simple de pulmón;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704046;SI;4;17-04-046;Resecciones segmentarias anatómicas de pulmón ;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704047;SI;4;17-04-047;Extracción cuerpo extraño esofágico por vía cervical;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704048;SI;4;17-04-048;Cuerpo extraño esofágico, extracción por esofagotomía, vía torácica;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704049;SI;4;17-04-049;Esofagostomía cervical (proc. aut.);Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704050;SI;4;17-04-050;Tumores benignos y/o quistes esofágicos,  trat. quir., vía cervical;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704051;SI;4;17-04-051;Tratamiento quirúrgico de tumores esofagicos benignos y/o quistes vía torácica;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704052;SI;4;17-04-052;Divertículos esofágicos, trat. quir., vía cervical;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704053;SI;4;17-04-053;Divertículos esofágicos, trat. quir., vía torácica;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704054;SI;4;17-04-054;Achalasia, trat. quir.;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704055;SI;4;17-04-055;Atresia esofágica, trat. quir.;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704056;SI;4;17-04-056;"Esofagectomía con restitución del tránsito mediante estómago o intestino; parcial o total";Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704057;SI;4;17-04-057;Esofagectomía total con esofagostomía, gastrostomía y yeyunostomía;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704058;SI;4;17-04-058;Esofagogastrectomía proximal;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704059;SI;4;17-04-059;Prótesis o tubo endoesofágico, colocación de (proc. aut.);Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704060;SI;4;17-04-060;Reconstitución de tránsito en segundo tiempo (estómago o intestino) de operación cód. 17-04-057;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704061;SI;4;17-04-061;Sutura herida o perforación esófago cervical;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704062;SI;4;17-04-062;Sutura herida o perforación esófago torácico;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704063;SI;4;17-04-063;Várices esofágicos, ligadura directa;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1704064;SI;4;17-04-064;Frenoparálisis trat. quir.;Cirugía Cardiovascular;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1707021;SI;4;17-07-021;Laringotraqueobroncoscopia con fibroscopio;Cirugía de Tórax;Proc;Antigua;31-12-2008;31-12-2024
1707024;SI;4;17-07-024;Pleuroscopia (toracoscopia) c/s biopsia;Cirugía de Tórax;Proc;Antigua;31-12-2008;31-12-2024
1707027;SI;4;17-07-027;Broncoaspiración, c/s lavado y/o colocación de medicamentos por sonda traqueobronquial (proc. aut.);Cirugía de Tórax;Proc;Antigua;31-12-2008;31-12-2024
1802001;SI;4;18-02-001;Hernia diafragmática por vía abdominal o cualquiera otra hernia con uso de prótesis (no incluye el valor de la prótesis);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802002;SI;4;18-02-002;Hernia incisional o evisceración post-op. sin resección intestinal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802003;SI;4;18-02-003;Hernia inguinal, crural, umbilical, de la línea blanca o similares, recidivada o no, simple o estrangulada s/resección intest.c/u;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802004;SI;4;18-02-004;Laparotomía exploradora, c/s liberación de adherencias, c/s drenaje, c/s biopsias como proc. aut. o como resultado de una herida penetrante abdominal no complicada o de un hemoperitoneo postoperatorio o como tratamiento de una peritonitis (laparostomía contenida -máximo cuatro-, resuturas, etc.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802005;SI;4;18-02-005;"Onfalocele (hasta 5 cms.); trat. quir.";Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802006;SI;4;18-02-006;"Onfalocele (más de 5 cms.); trat. quir.";Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802007;SI;4;18-02-007;Peritonitis difusa aguda, trat. quir. (proc. aut.) ;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802008;SI;4;18-02-008;Tumor y/o quiste peritoneal (parietal);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802009;SI;4;18-02-009;Tumor y/o quiste retroperitoneal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802010;SI;4;18-02-010;Antrectomía y vagotomía troncular o selectiva (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802011;SI;4;18-02-011;Desgastrectomía y neoanastomosis, c/s vaguectomía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802012;SI;4;18-02-012;Gastroenteroanastomosis, cualquier técnica. (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802013;SI;4;18-02-013;Gastrosquisis;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802014;SI;4;18-02-014;Gastrotomía y/o gastrostomía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802015;SI;4;18-02-015;Perforación gástrica aguda, trat. quir. (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802016;SI;4;18-02-016;Piloroplastía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802017;SI;4;18-02-017;Gastrectomía subtotal con disección ganglionar;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802018;SI;4;18-02-018;Gastrectomía subtotal sin disección ganglionar;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802019;SI;4;18-02-019;Dumping y/o síndrome asa aferente, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802021;SI;4;18-02-021;Gastrectomía sub-total proximal con esófago-gastro-anastomosis u otra derivación;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802022;SI;4;18-02-022;Gastrectomía total;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802023;SI;4;18-02-023;Gastrectomía total o sub-total ampliada (incluye esplenectomía y pancreatectomía corporocaudal y disección ganglionar);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802024;SI;4;18-02-024;Gastropexia y/u otra cirugía antirreflujo, c/s vagotomía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802025;SI;4;18-02-025;Vagotomía selectiva y superselectiva c/s dren. gástrico, c/s piloroplastía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802026;SI;4;18-02-026;Drenaje de colecciones líquidas hepáticas;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802027;SI;4;18-02-027;Colangioenteroanastomosis intrahepática;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802028;SI;4;18-02-028;Colecistectomía c/s colangiografía operatoria;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802029;SI;4;18-02-029;Colecistectomía y coledocostomía (sonda T y colangiografía postoperatoria) c/s colangiografía operatoria;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802030;SI;4;18-02-030;Colecistogastroanastomosis o colecistoenteroanastomosis;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802031;SI;4;18-02-031;Colecistostomía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802032;SI;4;18-02-032;Colédoco o hepatoenteroanastomosis;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802033;SI;4;18-02-033;Coledocostomía supraduodenal o hepaticostomía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802034;SI;4;18-02-034;Colocación de válvula peritoneoyugular derivativa de ascitis;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802035;SI;4;18-02-035;Desconexión ácigoportal con transección esofágica;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802036;SI;4;18-02-036;Desconexión ácigoportal sin transección esofágica;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802037;SI;4;18-02-037;Drenaje vía biliar transhepático;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802038;SI;4;18-02-038;Esfinteroplastía transduodenal, (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802039;SI;4;18-02-039;Hepatectomía segmentaria (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802040;SI;4;18-02-040;Herida traumática de hígado y/o vía biliar, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802041;SI;4;18-02-041;Lobectomía hepática (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802042;SI;4;18-02-042;Quiste hidatídico, único o múltiple, y/o cistoyeyunoanastomosis, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802043;SI;4;18-02-043;Abscesos, quistes, pseudoquistes o similares de páncreas, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802044;SI;4;18-02-044;Heridas, traumatismos de páncreas, trat.quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802045;SI;4;18-02-045;Pancreatectomía parcial;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802046;SI;4;18-02-046;Pancreatectomía total c/s esplenectomía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802047;SI;4;18-02-047;Pancreatoduodenectomía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802048;SI;4;18-02-048;Secuestrectomía en pancreatitis aguda;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802049;SI;4;18-02-049;Autoimplante de bazo (incluye esplenectomía);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802050;SI;4;18-02-050;Esplenectomía total o parcial (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802051;SI;4;18-02-051;Operación de etapificación (incluye esplenectomía, biopsias hepáticas, de ganglios abdominales y de cresta ilíaca);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802052;SI;4;18-02-052;Sutura esplénica (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802053;SI;4;18-02-053;Apendicectomía y/o dren. absceso apendicular (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802054;SI;4;18-02-054;Cierre de colostomía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802055;SI;4;18-02-055;Colostomía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802056;SI;4;18-02-056;Colostomía, complicaciones tardías, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802057;SI;4;18-02-057;Divertículo de Meckel, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802058;SI;4;18-02-058;Entero-enteroanastomosis o enterocoloanastomosis (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802059;SI;4;18-02-059;Enterotomía o enterostomía (yeyunostomía u otra) (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802060;SI;4;18-02-060;Ileostomía terminal o en asa (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802061;SI;4;18-02-061;Invaginación intestinal, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802062;SI;4;18-02-062;Persistencia conducto onfalomesentérico, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802063;SI;4;18-02-063;Quiste uraco, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802065;SI;4;18-02-065;Oclusión intestinal con resección;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802066;SI;4;18-02-066;Oclusión intestinal sin resección;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802067;SI;4;18-02-067;Colectomía parcial o hemicolectomía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802068;SI;4;18-02-068;Colectomía total abdominal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802069;SI;4;18-02-069;Descenso de colon c/conservación del esfínter, incluye resección de colon;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802070;SI;4;18-02-070;Hartmann, operación de (o similar);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802071;SI;4;18-02-071;Perforación y/o herida de intestino, única o múltiple, trat. quir. (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802072;SI;4;18-02-072;Quiste y/o tumor del mesenterio y/o epiplones, único y/o múltiple, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802073;SI;4;18-02-073;Reconstitución  tránsito post operación de Hartmann o sim.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802074;SI;4;18-02-074;Resección de intestino y enteroanastomosis (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802075;SI;4;18-02-075;Resección intestinal masiva por trombosis mesentérica u otra etiología;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802076;SI;4;18-02-076;Duplicación intestinal, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802077;SI;4;18-02-077;Mal rotación intestinal, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802079;SI;4;18-02-079;Gastrectomía total con ostomías proximal y distal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802080;SI;4;18-02-080;Reconstitución  de tránsito en 2° tiempo de operación código 18-02-079;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802081;SI;4;18-02-081;Colecistectomía por videolaparoscopía, proc. completo;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802082;SI;4;18-02-082;Resección intestinal con ostomías proximal y distal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802100;SI;4;18-02-100;Trasplante hepático;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802101;SI;4;18-02-101;Hernia diafragmática por vía abdominal o cualquiera otra hernia con uso de prótesis (incluye el valor de la prótesis);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1802148;SI;4;18-02-148;Yeyunopancreatostomía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803001;SI;4;18-03-001;Absceso ano rectal complejo, tratamiento quirúrgico;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803002;SI;4;18-03-002;Absceso anorrectal simple, trat. quir.;Cirugía Digestiva;Cirugía Menor;Antigua;31-12-2008;31-12-2050
1803003;SI;4;18-03-003;Absceso sacrocoxígeo, drenaje;Cirugía Digestiva;Cirugía Menor;Antigua;31-12-2008;31-12-2050
1803004;SI;4;18-03-004;Biopsia quirúrgica rectal (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803006;SI;4;18-03-006;Cuerpo extraño rectal, extracción por vía abdominal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803007;SI;4;18-03-007;Cuerpo extraño rectal, extracción por vía anal;Cirugía Digestiva;Cirugía Menor;Antigua;31-12-2008;31-12-2050
1803008;SI;4;18-03-008;Desgarros y heridas anorrectales con compromiso del esfínter;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803009;SI;4;18-03-009;Desgarros y heridas anorrectales sin compromiso del esfínter;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803010;SI;4;18-03-010;Esfinterotomía (proc. aut.);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803011;SI;4;18-03-011;Estenosis anal, plastía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803012;SI;4;18-03-012;Estenosis rectal, plastía;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803013;SI;4;18-03-013;Fecaloma, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803014;SI;4;18-03-014;Fístula rectovesical, trat.quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803015;SI;4;18-03-015;Fístula rectovaginal, rectouretral o uretrovaginal, trat.quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803016;SI;4;18-03-016;Fístula anorrectal, trat.quir.de cualquier tipo;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803017;SI;4;18-03-017;Fisura anal, repar. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803018;SI;4;18-03-018;Hemorroidectomía (incluye otras operaciones complementarias en canal anal);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803019;SI;4;18-03-019;Hemorroides, trombectomía (proc. aut.);Cirugía Digestiva;Cirugía Menor;Antigua;31-12-2008;31-12-2050
1803020;SI;4;18-03-020;Imperforación anal, reconstitución tránsito por vía abdómino-perineal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803021;SI;4;18-03-021;Imperforación anal, reconstitución tránsito por vía perineal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803023;SI;4;18-03-023;Incontinencia anal, trat.quir. con cerclaje;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803024;SI;4;18-03-024;Incontinencia anal, trat.quir. con plastía muscular;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803025;SI;4;18-03-025;Pólipo rectal, trat.quir. por vía abdominal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803026;SI;4;18-03-026;Pólipo rectal, trat.quir. por vía anal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803027;SI;4;18-03-027;Prolapso rectal, trat.quir. por vía abdominal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803028;SI;4;18-03-028;Prolapso rectal, trat.quir. por vía anal;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803029;SI;4;18-03-029;Panproctocolectomía (2 equipos);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803030;SI;4;18-03-030;Prurito anal, trat. quir. por denervación;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803031;SI;4;18-03-031;Quiste sacrocoxígeo, trat. quir.;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803032;SI;4;18-03-032;Resección abdómino-perineal de ano y recto (2 equipos);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803033;SI;4;18-03-033;Resección abdómino-perineal de ano y recto ampliada (2 equipos) (incluye genitales femeninos);Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803034;SI;4;18-03-034;Resección anterior de recto;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803035;SI;4;18-03-035;Resección perineal de ano y recto;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1803038;SI;4;18-03-038;Condilomas anales, trat. quir. ;Cirugía Digestiva;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902002;SI;4;19-02-002;Arterias renales, operaciones sobre (proc. aut.);Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902003;SI;4;19-02-003;Auto o heterotrasplante riñón;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902004;SI;4;19-02-004;Cirugía de banco, (proc. completo) (micro-extracorpórea), autotrasplante;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902005;SI;4;19-02-005;Litiasis renal, trat. quir. percutáneo c/s ultrasonido (incluye todo el procedimiento);Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902006;SI;4;19-02-006;Litiasis renal o ureteral  por cirugía abierta o laparoscópica, por pielotomía o nefrotomía mínima o anatrófica.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902008;SI;4;19-02-008;Lumbotomía exploradora c/s dren., c/s biopsia (proc. aut.);Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902009;SI;4;19-02-009;Nefrectomía parcial cualquier vía y técnica. Incluye disección ganglionar etapificadora o reductiva;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902010;SI;4;19-02-010;Nefrectomía radical por cáncer renal, traumatismo renal, vía abierta, laparoscópica o robótica, incluye disección ganglionar etapificadora o reductiva;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902011;SI;4;19-02-011;Nefrectomía por patología benigna o malformación o trasplante.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902012;SI;4;19-02-012;Drenaje percutáneo o endoscópico de hidronefrosis.  (proc.autónomo);Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902013;SI;4;19-02-013;Pielotomía exploradora y/o terapéutica (incluye la  pielostomía y/o pieloplastía);Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902015;SI;4;19-02-015;Suprarrenalectomía unilateral;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902016;SI;4;19-02-016;Anastomosis de los uréteres;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902017;SI;4;19-02-017;Fístula urétero-vaginal, trat. quir.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902018;SI;4;19-02-018;Nefroureterectomía en patología tumoral o malformación, cualquier vía o técnica.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902019;SI;4;19-02-019;Ureterectomía;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902020;SI;4;19-02-020;Urétero-litotomía abierta;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902021;SI;4;19-02-021;Urétero o nefro-litotomía endoscópica c/ureteroscopia rígida o flexible, con o sin fragmentación;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902022;SI;4;19-02-022;Ureterectomía, ureteroplastía, ureterorrafia, ureterolisis, transureteroanastomosis, cualquier vía o técnica. ;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902023;SI;4;19-02-023;Ureterorrafia y/o ureterolisis c/u;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902024;SI;4;19-02-024;Ureterostomía bilateral: vesical, cutánea o intestinal;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902025;SI;4;19-02-025;Ureterostomía unilateral: vesical, cutánea o intestinal;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902027;SI;4;19-02-027;Cistectomía parcial y/o trat. quir. de divertículo vesical;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902028;SI;4;19-02-028;Cistectomía radical, cualquier vía o técnica, incluye linfadenectomía ampliada.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902029;SI;4;19-02-029;Cistoplastía, proc. completo;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902030;SI;4;19-02-030;Reparación vesical por trauma o daño de cualquier tipo.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902031;SI;4;19-02-031;Cistostomía, extracción de litiasis o cuerpo extraño, instalación de catéter suprapúbico, por vía abierta o endoscopica, c/s láser;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902032;SI;4;19-02-032;Extrofia vesical, proc. completo;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902033;SI;4;19-02-033;Fístula vésico-cutánea, y/o vaginal, y/o intest., trat. quir.;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1902034;SI;4;19-02-034;Cirugía abierta o endoscópica de lesiones cuello vesical y/o hemovejiga primaria o post cirugía próstata o vejiga;Urología y Nefrología;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
